,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,0.0,1958.42,2072.95,1106.03,3165.08,2706.98,2173.43,2102.19,2309.23,2696.04,1665.62,1660.29,1979.62,2720.93,0.0
1,1756.18,0.0,826.25,1477.09,1585.91,1299.13,1622.15,504.73,2495.59,1288.19,1314.22,1588.22,775.22,1313.08,1756.18
2,1817.65,840.61,0.0,1750.7,1497.84,1039.74,1895.76,705.92,2752.26,1028.8,1587.83,1861.83,570.08,1053.69,1817.65
3,1118.8,1726.52,1841.05,0.0,2933.18,2475.08,1941.53,1870.29,1697.97,2464.14,838.63,959.22,1747.72,2489.03,1118.8
4,2958.65,1712.25,1422.67,2769.25,0.0,1124.52,2914.31,1418.95,3787.76,1264.0,2606.39,2880.38,1790.5,1095.59,2958.65
5,2585.11,1464.64,1049.13,2395.72,1147.85,0.0,2540.77,1329.96,3414.22,459.45,2232.85,2506.84,1416.96,42.69,2585.11
6,1977.93,1685.82,2027.0,1949.04,3029.95,2603.46,0.0,1948.76,2912.53,2592.52,1929.08,2203.08,1933.66,2617.41,1977.93
7,2045.82,647.41,757.65,1753.61,1331.91,1260.4,1988.88,0.0,2862.32,1249.46,1640.23,1954.94,877.67,1274.35,2045.82
8,2423.92,2550.36,2893.83,1745.41,3868.17,3468.0,3095.86,2786.99,0.0,3457.06,1499.95,1172.06,2842.79,3481.95,2423.92
9,2532.44,1411.97,996.46,2343.05,1245.55,536.25,2488.1,1277.29,3361.55,0.0,2180.18,2454.17,1364.29,540.39,2532.44
10,1632.7,1334.91,1716.38,796.63,2595.13,2290.56,1967.57,1513.94,1577.44,2279.61,0.0,670.07,1665.35,2304.51,1632.7
11,1760.58,1799.78,2156.4,944.63,3059.99,2730.58,2407.59,1978.81,1239.88,2719.63,761.22,0.0,2105.37,2744.52,1760.58
12,1904.63,795.1,574.03,1642.92,1876.23,1418.14,1787.98,813.34,2661.42,1407.19,1480.05,1754.05,0.0,1432.09,1904.63
13,2584.01,1463.54,1048.03,2394.62,1119.37,42.69,2539.68,1328.86,3413.12,468.61,2231.75,2505.74,1415.86,0.0,2584.01
14,0.0,1958.42,2072.95,1106.03,3165.08,2706.98,2173.43,2102.19,2309.23,2696.04,1665.62,1660.29,1979.62,2720.93,0.0
