,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,0.0,1484.9,535.92,1276.81,1122.49,2272.44,1998.99,1951.88,,2497.11,792.77,1664.96,1269.8,2479.76,0.0
1,1563.13,0.0,1376.12,1940.36,802.35,1655.35,1381.9,1334.79,,1896.35,1262.71,2472.75,1200.21,1862.68,1563.13
2,557.84,1398.37,0.0,1278.12,1035.97,2185.91,1912.46,1865.35,,2410.58,627.59,1672.51,1118.59,2393.24,557.84
3,1125.87,1966.33,1205.12,0.0,1603.93,2753.87,2207.23,2338.45,,2911.57,1426.11,1472.49,1005.43,2877.9,1125.87
4,1209.61,801.82,1022.6,1612.91,0.0,1791.24,1517.79,1470.68,,1893.46,721.93,2119.23,1206.74,1964.43,1209.61
5,2413.73,1802.58,2226.72,2741.06,1920.59,0.0,1496.2,1449.09,,1690.9,2134.34,3323.35,2000.91,1761.87,2413.73
6,2093.21,1533.05,1906.2,2200.56,1673.79,1567.08,0.0,239.76,,957.49,1991.64,3002.83,1460.4,922.99,2093.21
7,2215.87,1643.78,2028.87,2426.06,1725.03,1615.26,234.63,0.0,,967.04,2161.45,3125.49,1685.9,904.14,2215.87
8,,,,,,,,,,,,,,,
9,2552.43,1883.71,2365.43,2929.67,2001.73,1741.25,1013.13,927.97,,0.0,2215.48,3462.05,2189.51,471.83,2552.43
10,922.93,1248.38,669.85,1431.46,777.93,2176.13,1964.35,1917.24,,2264.49,0.0,2037.16,1033.53,2335.46,922.93
11,1717.15,2422.92,1661.7,1389.6,2060.51,3210.46,2937.01,2889.9,,3435.13,1970.59,0.0,1998.8,3417.78,1717.15
12,1233.77,1090.06,983.64,1020.76,994.72,1864.99,1311.45,1442.67,,2015.79,945.25,2051.76,0.0,1982.11,1233.77
13,2601.09,1932.37,2414.08,2978.32,2050.39,1789.91,1018.63,854.78,,516.42,2264.13,3510.71,2238.16,0.0,2601.09
14,0.0,1484.9,535.92,1276.81,1122.49,2272.44,1998.99,1951.88,,2497.11,792.77,1664.96,1269.8,2479.76,0.0
