,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,0.0,1084.14,1847.6,489.23,3506.13,1812.0,2720.11,1428.89,2394.2,2557.53,2776.5,1039.08,2470.86,1969.94,0.0
1,905.97,0.0,1180.24,1129.58,2838.76,1144.63,2052.74,765.17,1726.84,1890.17,2109.14,254.39,1900.19,1302.57,905.97
2,1610.25,999.21,0.0,1833.87,2056.63,133.8,1270.61,1165.58,944.71,1108.03,1327.01,930.93,1077.95,613.78,1610.25
3,598.93,1197.18,1920.96,0.0,3574.96,1900.53,2788.94,1541.92,2463.03,2626.36,2845.33,1152.12,2732.58,1818.79,598.93
4,3232.36,2621.32,2018.57,3455.98,0.0,2011.56,1568.44,2787.69,1499.68,1663.01,1751.43,2553.04,2018.74,2154.86,3232.36
5,1535.98,924.94,138.19,1759.6,2126.25,0.0,1340.23,1091.31,1014.32,1177.65,1396.62,856.66,1109.42,657.4,1535.98
6,2528.29,1917.25,1314.5,2751.91,1489.87,1307.49,0.0,2083.62,354.15,561.37,415.19,1848.97,1050.36,1450.79,2528.29
7,1224.1,658.06,1117.84,1447.72,2776.37,1082.24,1990.35,0.0,1664.44,1827.77,2046.74,616.15,1889.79,1240.18,1224.1
8,2175.67,1564.63,961.88,2399.28,1493.63,954.87,330.93,1731.0,0.0,259.83,387.33,1496.34,719.94,1098.17,2175.67
9,2296.72,1685.68,1082.94,2520.34,1614.69,1075.93,550.53,1852.05,253.19,0.0,635.49,1617.4,561.9,1219.23,2296.72
10,2576.04,1965.0,1362.26,2799.66,1689.22,1355.25,428.74,2131.38,401.9,661.74,0.0,1896.72,1121.85,1498.55,2576.04
11,1012.3,250.69,1053.9,1235.92,2712.42,1018.29,1926.4,586.15,1600.5,1763.82,1982.8,0.0,1757.4,1176.23,1012.3
12,2333.35,1722.31,1068.82,2556.97,2054.0,1144.72,1016.78,1888.68,692.51,561.25,1074.81,1654.03,0.0,1343.71,2333.35
13,1795.51,1184.47,652.13,1884.04,2037.7,629.09,1251.68,1350.84,925.78,1089.1,1308.08,1116.19,1222.55,0.0,1795.51
14,0.0,1084.14,1847.6,489.23,3506.13,1812.0,2720.11,1428.89,2394.2,2557.53,2776.5,1039.08,2470.86,1969.94,0.0
