,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,0.0,1445.15,1089.5,1844.58,1039.78,2961.09,2281.32,2500.59,3258.83,2505.23,3751.03,3568.64,2057.49,2018.08,0.0
1,1367.85,0.0,1846.01,2489.83,1122.87,3491.37,2601.03,2659.74,3407.53,3035.5,4281.31,4098.92,2587.77,2604.88,1367.85
2,1237.37,1459.76,0.0,1178.07,1749.06,2409.26,1830.33,2049.6,2799.46,1986.9,3232.71,3050.32,1499.22,1351.56,1237.37
3,2051.17,2281.09,1316.41,0.0,2570.59,1516.56,1982.72,2201.99,2307.12,1086.02,2331.83,2149.44,551.42,422.41,2051.17
4,903.71,1098.96,1677.91,2413.3,0.0,3549.5,2820.57,3039.84,3726.11,3093.63,4339.44,4157.05,2645.9,2586.79,903.71
5,2872.52,3168.58,2339.25,1545.57,3384.2,0.0,2796.34,3015.61,2835.85,1057.89,1693.56,1512.98,1267.68,1367.12,2872.52
6,2224.9,2217.54,1691.63,1762.08,2538.66,2871.96,0.0,348.14,2402.28,2416.09,3661.9,3479.51,1968.36,1935.57,2224.9
7,2496.97,2489.61,1963.7,2034.15,2810.74,3144.03,318.14,0.0,2172.91,2688.17,3933.97,3751.58,2240.43,2207.65,2496.97
8,3246.89,3229.42,2713.63,2322.92,3550.54,2955.01,2297.74,2072.53,0.0,2500.41,3719.09,3562.56,2420.85,2437.97,3246.89
9,2515.5,2811.56,1982.23,1188.55,3027.18,1095.45,2439.32,2658.59,2611.48,0.0,1885.4,1703.01,910.66,1290.16,2515.5
10,3736.92,4032.99,3203.66,2409.98,4248.61,1594.97,3660.75,3880.02,3669.9,1922.3,0.0,397.29,2132.09,2495.53,3736.92
11,3537.51,3833.57,3004.24,2210.57,4049.2,1395.56,3461.33,3680.6,3470.49,1722.88,440.59,0.0,1932.68,2296.12,3537.51
12,2043.9,2339.96,1443.13,617.72,2555.59,1245.55,1967.72,2186.99,2348.66,789.68,2035.49,1853.1,0.0,679.53,2043.9
13,2107.55,2337.46,1372.78,420.17,2626.96,1293.62,2039.1,2258.36,2432.63,1119.78,2383.31,2228.56,584.64,0.0,2107.55
14,0.0,1445.15,1089.5,1844.58,1039.78,2961.09,2281.32,2500.59,3258.83,2505.23,3751.03,3568.64,2057.49,2018.08,0.0
