,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,0.0,1559.64,2478.45,1066.66,1654.58,2482.52,2497.93,1505.06,2159.97,1552.97,2448.39,3100.01,1693.45,2110.44,2130.68,196.56,0.0
1,1590.62,0.0,2387.75,1071.29,784.19,1830.07,2407.23,1364.46,1787.44,452.65,2307.79,3009.31,1867.36,1240.05,1351.2,1631.83,1590.62
2,2354.17,2328.08,0.0,1705.28,2486.6,3532.48,564.13,1295.76,3305.52,2384.99,677.38,1569.78,1746.54,2942.46,3053.61,2395.38,2354.17
3,1136.04,983.85,1799.45,0.0,1142.38,2188.26,1818.93,826.06,2038.33,1040.77,1769.39,2421.01,1009.12,1598.23,1709.39,1177.25,1136.04
4,1798.58,803.27,2765.74,1449.28,0.0,1502.07,2785.22,1709.91,1775.16,483.93,2653.24,3387.3,2181.89,912.05,1023.2,1839.8,1798.58
5,2624.86,1692.43,3631.75,2315.29,1418.84,0.0,3651.23,2582.14,2234.13,1442.32,3525.47,4253.31,3008.16,868.23,927.93,2666.07,2624.86
6,2441.6,2415.51,595.77,1792.71,2574.03,3619.91,0.0,1510.96,3392.95,2472.42,978.64,1498.94,1752.21,3029.89,3141.04,2482.81,2441.6
7,1508.19,1425.78,1204.62,859.31,1628.02,2673.9,1471.24,0.0,2459.55,1395.56,1061.9,2280.49,1385.37,2083.88,2195.03,1549.41,1508.19
8,2304.82,1843.69,3473.11,2061.33,1724.48,2146.39,3492.59,2499.73,0.0,1761.42,3443.05,4094.68,2688.12,1678.04,1643.64,2346.03,2304.82
9,1630.2,438.14,2515.96,1199.5,518.32,1606.05,2535.44,1491.06,1705.05,0.0,2434.38,3137.52,1995.57,1026.43,1137.58,1671.41,1630.2
10,2528.88,2446.46,622.1,1880.0,2648.71,3694.59,957.41,1187.28,3480.24,2416.25,0.0,1661.04,1984.04,3104.57,3215.72,2570.09,2528.88
11,3078.15,3052.57,1683.42,2429.78,3211.09,4256.98,1521.13,2353.58,4029.5,3109.49,1761.47,0.0,2186.38,3666.95,3778.1,3119.36,3078.15
12,1655.54,1789.01,1818.69,964.34,1947.53,2929.45,1674.88,1402.73,2606.9,1845.93,1957.45,2302.62,0.0,2403.39,2514.54,1696.75,1655.54
13,2247.73,1227.28,3166.6,1850.14,953.69,954.23,3186.08,2108.92,1746.21,977.17,3052.24,3788.16,2631.03,0.0,217.32,2288.94,2247.73
14,2258.22,1329.75,3269.08,1952.61,1056.17,994.55,3288.55,2245.79,1756.69,1079.65,3189.11,3890.64,2641.52,240.45,0.0,2299.43,2258.22
15,196.56,1600.85,2519.66,1107.88,1695.79,2523.73,2539.14,1546.28,2201.18,1594.19,2489.6,3141.22,1734.67,2151.65,2171.89,0.0,196.56
16,0.0,1559.64,2478.45,1066.66,1654.58,2482.52,2497.93,1505.06,2159.97,1552.97,2448.39,3100.01,1693.45,2110.44,2130.68,196.56,0.0
