,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,0.0,1080.5,833.16,691.6,2072.02,2071.78,540.68,629.16,1029.58,581.72,1075.37,1862.92,4271.27,704.98,2208.57,831.32,0.0
1,1142.57,0.0,749.63,934.21,1338.77,1343.26,1202.78,1291.26,187.21,771.26,1629.54,893.9,3699.43,970.15,1425.56,765.74,1142.57
2,787.8,702.06,0.0,668.06,1693.58,1693.35,848.01,936.48,651.15,414.72,1382.7,1445.85,3949.52,896.96,1830.13,222.45,787.8
3,784.78,990.89,642.5,0.0,1745.32,1707.36,863.37,951.85,922.76,561.07,1212.27,1765.16,3778.58,244.38,1881.87,675.68,784.78
4,1966.26,1285.09,1573.31,1783.04,0.0,548.16,2026.46,2114.94,1361.09,1594.95,2431.98,877.22,2719.43,1772.59,232.34,1589.42,1966.26
5,1810.32,1195.64,1417.37,1719.49,448.58,0.0,1870.52,1959.0,1209.46,1439.0,2405.21,804.02,2905.46,1755.43,585.12,1433.48,1810.32
6,661.83,1190.24,942.91,960.79,2181.77,2181.53,0.0,244.7,1139.33,691.46,716.83,1972.67,4437.7,1115.31,2318.31,941.06,661.83
7,639.01,1167.42,920.08,937.97,2158.94,2158.71,221.38,0.0,1116.5,668.64,697.83,1949.84,4414.88,1092.49,2295.49,918.24,639.01
8,998.37,144.76,605.42,854.54,1412.24,1412.0,1058.57,1147.05,0.0,627.05,1549.86,988.85,3668.18,890.47,1520.52,621.53,998.37
9,586.75,780.32,432.67,549.03,1771.84,1771.61,646.96,735.44,729.4,0.0,1181.65,1562.74,4027.78,703.55,1908.39,300.41,586.75
10,1050.14,1578.55,1331.21,1311.98,2570.07,2534.47,719.22,562.62,1527.63,1079.77,0.0,2360.97,4605.7,1290.2,2706.62,1329.37,1050.14
11,1735.51,828.72,1342.56,1644.69,759.82,791.59,1795.72,1884.19,904.72,1364.2,2330.41,0.0,3120.48,1680.63,846.62,1358.67,1735.51
12,4248.63,3570.79,3855.68,3874.32,2671.4,2847.13,4308.83,4397.31,3646.79,3877.31,4523.26,3162.92,0.0,3863.87,2682.68,3871.79,4248.63
13,798.42,1043.39,901.78,305.78,1776.87,1738.91,901.3,989.78,975.26,669.07,1367.58,1796.71,3810.13,0.0,1913.42,916.21,798.42
14,2001.38,1301.48,1608.44,1818.17,148.57,583.28,2061.59,2150.06,1377.48,1630.07,2467.1,893.6,2653.15,1807.71,0.0,1624.54,2001.38
15,667.34,702.22,225.64,669.52,1693.74,1693.51,727.54,816.02,651.3,291.27,1262.23,1484.64,3949.68,824.04,1830.29,0.0,667.34
16,0.0,1080.5,833.16,691.6,2072.02,2071.78,540.68,629.16,1029.58,581.72,1075.37,1862.92,4271.27,704.98,2208.57,831.32,0.0
