,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,0.0,1992.83,1737.15,1256.94,1757.94,2963.3,1398.81,1198.16,2071.0,1187.93,1278.19,1826.44,2698.06,2101.46,3175.49,1392.96,0.0
1,2077.84,0.0,3196.16,1602.44,3216.95,1710.78,2847.23,1502.03,2102.94,1395.31,1191.62,3285.45,1172.62,832.61,1922.97,1192.4,2077.84
2,1723.93,3036.65,0.0,2300.77,121.14,4007.12,960.61,2241.98,3114.82,2231.75,2322.02,741.03,3741.88,3145.28,4219.31,2436.78,1723.93
3,1105.63,1645.8,2315.23,0.0,2350.73,2589.76,1625.44,911.09,1783.93,943.38,904.72,2454.72,2398.39,1711.59,2801.95,842.74,1105.63
4,1762.68,3075.4,121.14,2339.51,0.0,4045.87,999.36,2280.73,3153.57,2270.5,2360.76,685.13,3780.63,3184.03,4258.06,2475.53,1762.68
5,3135.99,1856.43,4254.31,2803.64,4275.1,0.0,3915.97,2411.11,2878.56,2443.4,2418.85,4171.24,823.88,1179.03,616.8,2419.64,3135.99
6,1512.03,2824.74,1025.64,1755.34,1061.15,3795.21,0.0,2030.07,2902.91,2019.85,2110.11,1262.95,3529.97,2933.38,4007.4,2109.74,1512.03
7,1155.92,1285.15,2274.24,823.57,2295.03,2271.95,1935.9,0.0,1414.32,249.89,549.68,2363.53,1990.38,1393.78,2484.14,651.13,1155.92
8,2110.62,1987.02,3228.94,1778.28,3249.74,2643.95,2890.61,1385.75,0.0,1418.03,1646.82,2971.66,2692.25,1956.74,2856.14,1748.27,2110.62
9,1120.05,1181.22,2238.36,787.7,2259.16,2168.02,1900.03,316.36,1423.89,0.0,345.66,2327.66,1886.45,1289.85,2380.21,473.97,1120.05
10,1145.49,1046.77,2263.81,763.24,2284.6,2033.57,1925.47,517.49,1610.69,392.81,0.0,2353.1,1752.0,1155.4,2245.76,255.82,1145.49
11,2043.31,3356.03,761.37,2620.15,681.08,4133.44,1301.3,2496.58,3047.12,2528.86,2641.4,0.0,4061.26,3446.24,4345.63,2756.16,2043.31
12,2884.06,1156.72,4002.38,2475.49,4023.18,833.84,3664.04,2308.26,2881.89,2201.53,1997.84,4091.68,0.0,1182.35,1193.1,1998.62,2884.06
13,2291.42,850.34,3409.73,1954.59,3430.53,1100.29,3071.4,1566.54,2033.98,1598.82,1511.7,3326.66,1152.81,0.0,1312.48,1512.48,2291.42
14,3392.94,2113.37,4511.25,3060.59,4532.05,727.88,4172.92,2668.06,3135.5,2700.34,2675.79,4428.18,1210.18,1435.97,0.0,2676.58,3392.94
15,1280.42,1258.85,2398.74,821.61,2419.53,2202.8,2060.4,661.85,1755.04,484.29,240.57,2488.03,1984.72,1324.64,2414.99,0.0,1280.42
16,0.0,1992.83,1737.15,1256.94,1757.94,2963.3,1398.81,1198.16,2071.0,1187.93,1278.19,1826.44,2698.06,2101.46,3175.49,1392.96,0.0
