,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,0.0,1564.99,2172.56,1219.3,1162.0,2056.16,1767.12,1611.34,855.53,1761.34,1704.78,2779.22,2052.57,1134.72,1695.17,1322.65,1334.5,1374.71,1453.21,1370.08,0.0
1,1694.05,0.0,2465.16,1352.41,1283.38,1523.16,384.27,635.03,1472.03,2152.61,1096.74,3342.85,3347.24,1774.76,870.67,674.63,1011.58,1033.81,562.18,789.35,1694.05
2,1975.57,2373.36,0.0,1564.71,1505.0,3219.04,2426.07,2460.69,1511.48,949.95,2867.66,1650.26,3287.34,1460.03,2599.23,2183.66,1760.49,2537.59,2302.55,2501.56,1975.57
3,1154.96,1336.39,1539.11,0.0,314.88,2389.71,1389.1,1705.22,690.87,1252.06,2038.33,2442.3,2808.16,874.21,1753.57,1428.19,606.2,1716.99,1361.17,1655.9,1154.96
4,1124.21,1227.9,1398.86,286.65,0.0,2281.21,1280.61,1596.73,660.12,1221.31,1929.83,2411.54,2777.41,843.46,1645.07,1319.7,615.03,1686.24,1252.67,1547.4,1124.21
5,2108.83,1589.58,3367.17,2413.91,2356.61,0.0,1648.3,1368.72,2050.14,2955.95,1017.04,3973.82,3762.03,2329.33,1109.77,1731.03,2228.05,1258.0,1592.53,1034.29,2108.83
6,1828.18,512.48,2443.05,1330.3,1261.28,1533.25,0.0,446.29,1449.92,2130.5,1064.44,3320.74,3481.38,1752.65,710.77,931.9,989.48,1205.92,804.06,1016.02,1828.18
7,1751.82,647.22,2727.65,1641.94,1572.91,1300.93,462.67,0.0,1559.7,2316.44,719.73,3506.68,3405.02,1867.16,308.03,956.54,1301.11,909.49,747.54,655.07,1751.82
8,961.33,1211.3,1714.77,761.51,704.22,2032.34,1330.9,1257.65,0.0,1303.56,1680.96,2493.8,2614.52,584.34,1396.2,980.62,638.49,1413.07,1099.52,1298.53,961.33
9,1672.21,2090.39,1060.1,1362.32,1305.03,2915.69,2143.1,2157.33,1208.12,0.0,2564.31,1787.51,3101.62,1156.67,2295.88,1880.3,1477.52,2234.24,1999.2,2198.21,1672.21
10,1725.53,1167.78,2983.87,2030.6,1973.31,1074.91,1089.49,727.03,1666.84,2572.65,0.0,3590.52,3378.73,1946.03,481.18,1347.73,1832.94,715.11,1170.72,531.56,1725.53
11,2696.89,3308.13,1566.55,2580.06,2522.76,3940.37,3360.84,3375.07,2361.08,1707.4,3588.99,0.0,3674.56,2197.99,3513.61,3098.04,2695.26,3258.92,3216.93,3254.29,2696.89
12,2040.64,3170.64,3408.77,2824.95,2767.66,3661.81,3372.77,3217.0,2461.18,2901.23,3310.43,3634.23,0.0,2538.34,3300.82,2928.3,2940.15,2980.36,3058.86,2975.73,2040.64
13,1022.89,1584.1,1582.3,942.26,884.97,2266.36,1703.7,1630.45,479.37,1171.08,1914.98,2172.65,2544.88,0.0,1769.0,1353.42,1011.29,1584.91,1472.32,1580.28,1022.89
14,1814.11,1011.47,3069.96,2017.45,1948.43,1220.19,860.72,402.95,1755.42,2658.75,565.23,3679.1,3467.31,2034.61,0.0,1295.0,1676.63,790.02,1014.41,440.7,1814.11
15,1327.84,693.58,2330.02,1338.59,1269.56,1708.3,938.22,964.79,1162.06,1918.81,1356.92,3109.04,2981.03,1469.53,1072.16,0.0,1021.83,1047.31,407.53,974.49,1327.84
16,1205.85,941.84,1615.49,502.74,433.72,1995.16,994.55,1277.44,652.03,1302.94,1643.78,2493.18,2859.05,925.09,1359.02,1000.41,0.0,1432.87,966.62,1261.35,1205.85
17,1461.72,1001.6,2720.05,1766.79,1709.49,1227.13,1183.34,882.12,1403.02,2308.84,695.49,3326.71,3114.91,1682.22,684.64,1083.92,1580.94,0.0,1004.54,480.06,1461.72
18,1507.26,427.88,2482.82,1370.07,1301.04,1413.94,672.52,698.95,1315.13,2071.87,1062.56,3262.11,3160.45,1622.6,777.8,432.4,1029.24,924.58,0.0,680.13,1507.26
19,1551.46,867.05,2809.79,1856.53,1799.23,946.71,1048.79,672.69,1492.76,2398.57,595.33,3416.45,3204.65,1771.95,368.01,1150.58,1532.21,490.95,870.0,0.0,1551.46
20,0.0,1564.99,2172.56,1219.3,1162.0,2056.16,1767.12,1611.34,855.53,1761.34,1704.78,2779.22,2052.57,1134.72,1695.17,1322.65,1334.5,1374.71,1453.21,1370.08,0.0
