,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,0.0,893.01,1890.9,1047.79,1195.98,645.23,1303.4,1966.89,1807.71,1273.01,1935.09,1233.25,2325.71,1264.16,740.78,1112.49,1194.38,871.76,1002.39,2419.49,0.0
1,881.79,0.0,2002.0,948.51,1096.69,951.7,1272.17,2018.7,1866.68,1580.48,1994.06,1154.67,2226.42,1232.94,334.14,550.63,1095.09,713.74,1225.74,2320.2,881.79
2,1634.77,2185.08,0.0,2367.09,2515.27,1643.45,1329.08,3312.87,840.7,1091.66,819.21,2129.23,3645.01,1313.1,2032.85,2421.67,2513.68,2039.7,2348.37,3738.79,1634.77
3,1125.99,962.34,2335.59,0.0,377.95,1207.5,1605.75,1535.86,2200.27,1877.26,2327.65,1610.7,1743.58,1566.52,824.73,545.2,415.26,1249.2,1138.64,1837.36,1125.99
4,1250.24,1086.59,2459.84,384.38,0.0,1331.75,1730.0,1572.09,2324.52,2001.51,2451.9,1734.95,1779.82,1690.77,948.98,776.25,398.43,1373.45,1030.94,1873.6,1250.24
5,536.96,883.08,1632.72,1053.9,1202.08,0.0,1026.31,2124.09,1549.52,1014.82,1676.9,1319.55,2331.81,987.08,730.85,1141.74,1200.48,737.7,1250.56,2425.59,536.96
6,1104.6,1390.72,1315.84,1616.94,1765.12,974.56,0.0,2687.13,1148.01,560.51,1275.39,1308.53,2894.85,143.68,1238.5,1600.96,1763.52,1245.34,1818.2,2988.64,1104.6
7,2088.12,2038.29,3407.84,1602.9,1740.44,2211.82,2681.71,0.0,3276.22,2789.95,3403.6,2686.66,1330.55,2642.48,1900.69,1939.61,1749.48,2325.16,1217.37,1386.82,2088.12
8,1814.44,2116.69,842.63,2387.85,2536.03,1745.47,1243.98,3458.04,0.0,1059.31,199.07,1838.19,3665.77,1285.8,1964.46,2130.63,2534.44,1882.09,2528.04,3759.55,1814.44
9,1148.56,1671.47,1150.58,1880.88,2029.07,1157.24,602.49,2826.66,976.32,0.0,1103.7,1704.29,3158.8,661.57,1519.25,1932.03,2027.47,1526.09,1862.16,3252.58,1148.56
10,1921.87,2070.11,734.02,2356.18,2504.36,1882.88,1408.6,3426.37,205.64,1237.85,0.0,1791.61,3634.09,1326.6,1917.88,2084.05,2502.76,1835.51,2607.34,3727.87,1921.87
11,1209.04,1357.07,2015.67,1643.34,1791.53,1360.63,1329.42,2713.54,1783.0,1657.72,1859.84,0.0,2921.26,1290.19,1205.05,1371.22,1789.93,1122.68,1894.51,3015.04,1209.04
12,2371.47,2207.82,3581.07,1772.43,1909.97,2452.99,2851.24,1310.04,3445.75,3122.74,3573.13,2856.18,0.0,2812.0,2070.21,2054.11,1919.01,2494.69,1852.19,900.73,2371.47
13,1110.08,1396.21,1312.7,1622.42,1770.61,980.04,116.95,2692.62,1177.38,666.1,1304.76,1314.01,2900.34,0.0,1243.98,1606.45,1769.01,1250.83,1823.69,2994.12,1110.08
14,676.37,318.29,1864.99,782.49,930.67,797.29,1135.16,1852.68,1729.67,1427.64,1857.06,1017.66,2060.4,1095.93,0.0,596.21,929.07,576.73,1059.72,2154.18,676.37
15,1093.06,542.73,2255.13,569.12,777.31,1174.57,1525.3,1903.94,2119.81,1833.61,2214.86,1332.26,2062.78,1486.06,593.34,0.0,730.16,966.87,1011.42,2205.44,1093.06
16,1191.49,1027.84,2401.09,395.03,428.14,1273.0,1671.25,1601.36,2265.77,1942.76,2393.15,1676.2,1809.08,1632.02,890.23,645.51,0.0,1314.7,1201.46,1902.86,1191.49
17,761.1,710.2,1799.0,1195.41,1343.59,748.69,1069.16,2265.6,1663.68,1377.48,1791.06,1146.67,2473.32,1029.93,557.97,970.76,1341.99,0.0,1446.57,2567.1,761.1
18,1073.47,1227.53,2393.19,985.42,1042.11,1197.17,1805.69,1116.74,2310.0,1775.3,2437.38,1823.24,1745.97,1766.45,1089.92,946.91,1167.99,1461.74,0.0,1743.75,1073.47
19,2442.63,2278.98,3652.23,1843.58,1981.13,2524.14,2922.39,1320.96,3516.91,3193.9,3644.29,2927.34,866.03,2883.16,2141.37,2180.3,1990.17,2565.84,1863.12,0.0,2442.63
20,0.0,893.01,1890.9,1047.79,1195.98,645.23,1303.4,1966.89,1807.71,1273.01,1935.09,1233.25,2325.71,1264.16,740.78,1112.49,1194.38,871.76,1002.39,2419.49,0.0
