,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,0.0,770.36,894.14,1302.93,1951.33,2189.4,623.85,1186.53,1337.82,1960.14,479.77,1161.94,2273.76,1311.65,1060.86,604.64,1053.56,1199.74,0.0
1,727.09,0.0,1244.99,1653.79,2302.19,2540.25,1161.99,1724.68,1393.33,2275.4,1017.91,1028.5,2589.02,1367.15,1116.37,1023.61,920.13,1166.46,727.09
2,791.08,1412.3,0.0,894.91,1543.31,1781.38,950.87,1054.71,1371.28,1552.11,819.74,1803.87,1865.73,1345.11,970.06,845.35,1695.5,1841.68,791.08
3,1247.25,1868.47,959.44,0.0,1174.02,1412.08,1311.45,871.58,1843.95,1441.56,1226.87,2260.04,1578.26,1817.77,1442.73,1301.53,2151.67,2297.85,1247.25
4,1847.03,2468.25,1559.23,1034.67,0.0,546.88,1978.05,1553.32,2443.73,1126.47,1875.7,2859.83,713.05,2417.56,2042.51,1901.31,2751.45,2897.63,1847.03
5,2225.54,2846.76,1937.73,1413.18,531.93,0.0,2356.56,1931.82,2778.11,1069.18,2254.2,3238.33,563.21,2751.93,2376.89,2279.81,3129.95,3276.14,2225.54
6,538.71,1159.93,969.59,1234.94,1934.02,2172.08,0.0,1027.28,1622.93,1825.28,345.92,1551.51,2138.9,1596.76,1345.97,390.07,1443.13,1589.31,538.71
7,1125.84,1742.53,995.1,826.47,1525.54,1763.6,1058.67,0.0,1977.2,1416.8,974.09,2134.1,1730.42,1951.03,1575.98,1085.79,2025.73,2171.91,1125.84
8,1334.46,1501.88,1338.17,1704.44,2352.85,2590.91,1615.62,1940.27,0.0,2031.78,1471.53,1949.88,2345.4,222.23,705.72,1401.42,1841.5,1987.68,1334.46
9,2118.2,2513.91,1899.15,1517.93,1190.18,1136.05,2277.99,1836.37,2263.28,0.0,2146.86,2961.91,848.22,2237.1,1862.06,2172.47,2853.53,2999.71,2118.2
10,421.37,1069.41,904.3,1210.9,1909.97,2148.04,364.49,1003.23,1494.4,1801.24,0.0,1460.98,2114.86,1468.23,1217.44,356.98,1352.6,1498.79,421.37
11,1226.2,1047.05,1744.11,2152.9,2801.3,3039.37,1661.11,2223.79,1911.7,2793.78,1517.02,0.0,3107.4,1885.53,1634.74,1522.72,288.72,312.24,1226.2
12,2345.19,2740.9,2126.15,1603.19,721.94,563.21,2504.98,2085.58,2490.28,781.34,2373.86,3188.91,0.0,2464.1,2089.06,2399.47,3080.53,3226.71,2345.19
13,1277.08,1444.5,1280.79,1647.07,2295.47,2533.54,1558.24,1882.9,199.21,1974.4,1414.16,1892.5,2288.02,0.0,643.26,1344.05,1784.13,1930.31,1277.08
14,978.11,1145.52,981.82,1348.09,1996.49,2234.56,1259.27,1583.92,721.19,1675.43,1115.18,1593.53,1989.05,658.67,0.0,1045.07,1485.15,1631.33,978.11
15,430.22,1011.81,776.71,1185.5,1833.9,2071.97,494.18,1039.35,1404.53,1837.36,427.69,1443.02,2150.98,1378.35,1127.57,0.0,1334.64,1480.82,430.22
16,1103.99,924.84,1621.9,2030.69,2679.09,2917.16,1538.9,2101.58,1789.49,2671.57,1394.81,287.03,2985.19,1763.32,1512.53,1400.51,0.0,488.78,1103.99
17,1329.16,1130.73,1847.06,2255.85,2904.26,3142.32,1764.06,2326.74,2014.66,2896.73,1619.98,271.14,3210.35,1988.48,1737.69,1625.68,448.4,0.0,1329.16
18,0.0,770.36,894.14,1302.93,1951.33,2189.4,623.85,1186.53,1337.82,1960.14,479.77,1161.94,2273.76,1311.65,1060.86,604.64,1053.56,1199.74,0.0
