,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,0.0,1150.06,1515.87,829.2,1299.12,1933.1,1251.43,3216.61,1199.07,1007.82,903.68,2157.77,1104.88,1674.08,2026.61,,2160.51,1537.49,0.0
1,1201.37,0.0,1759.92,758.51,1664.28,2086.95,710.84,3277.98,646.89,691.11,710.84,2311.61,564.29,1727.41,2056.35,,2311.8,1485.03,1201.37
2,1592.73,1893.28,0.0,1549.27,362.86,850.55,2084.48,2134.06,2097.42,1769.45,1665.31,1075.22,1937.94,691.14,946.79,,1077.96,1831.28,1592.73
3,607.03,767.56,1280.9,0.0,1185.26,1607.93,987.8,2891.44,1000.74,435.81,331.67,1832.6,841.25,1348.91,1790.06,,1835.33,1218.74,607.03
4,1369.82,1836.3,388.77,1420.51,0.0,774.92,1955.72,2058.42,1968.66,1640.69,1536.55,999.59,1809.17,803.82,899.52,,1002.32,1774.3,1369.82
5,2000.76,2192.88,813.62,1896.22,794.14,0.0,2431.43,1756.81,2444.37,2116.4,2012.27,551.69,2284.89,1233.97,670.6,,546.04,2130.88,2000.76
6,1300.41,684.72,1909.09,1123.89,1813.45,2236.12,0.0,3519.63,393.95,1049.07,1011.28,2460.79,186.93,1977.09,2403.5,,2463.52,1832.19,1300.41
7,3114.82,3331.27,2175.98,3036.61,1934.53,1679.79,3571.82,0.0,3584.76,3256.78,3152.65,1497.14,3425.27,2372.36,1856.7,,1563.31,3269.27,3114.82
8,1347.91,625.43,1956.6,1171.39,1860.95,2283.63,398.15,3567.13,0.0,1096.57,1058.79,2508.29,251.61,2024.6,2451.01,,2511.03,1879.69,1347.91
9,938.52,638.42,1526.23,432.09,1430.59,1853.26,1058.94,3119.82,1071.88,0.0,186.13,2077.93,912.39,1569.25,1898.19,,2080.66,1326.87,938.52
10,820.79,686.03,1408.5,314.36,1312.86,1735.53,1031.84,3002.09,1044.78,185.6,0.0,1960.2,885.29,1451.52,1780.46,,1962.93,1209.14,820.79
11,2178.72,2371.36,1213.56,2074.18,972.1,489.94,2609.39,1534.33,2622.33,2294.36,2190.23,0.0,2462.85,1412.45,661.82,,143.21,2309.36,2178.72
12,1156.53,539.73,1765.21,980.01,1669.57,2092.24,184.12,3375.75,248.95,905.19,867.4,2316.91,0.0,1833.21,2259.62,,2319.64,1688.3,1156.53
13,1670.37,1702.79,659.18,1440.61,691.41,1114.08,2101.04,2326.45,2113.98,1729.86,1625.73,1338.75,1954.5,0.0,1104.83,,1341.48,1640.79,1670.37
14,1936.82,1915.63,761.83,1653.45,861.27,644.24,2317.59,1874.95,2330.53,1942.7,1838.57,670.68,2171.04,956.72,0.0,,613.26,1853.63,1936.82
15,,,,,,,,,,,,,,,,0.0,,,
16,2171.67,2314.91,1183.32,2052.73,965.06,482.89,2602.35,1582.88,2615.29,2287.31,2183.18,142.88,2455.8,1356.0,603.65,,0.0,2252.91,2171.67
17,1515.95,1494.76,1721.67,1232.58,1626.02,2048.69,1896.72,3124.16,1909.66,1521.83,1417.7,2210.25,1750.17,1573.59,1902.54,,2157.99,0.0,1515.95
18,0.0,1150.06,1515.87,829.2,1299.12,1933.1,1251.43,3216.61,1199.07,1007.82,903.68,2157.77,1104.88,1674.08,2026.61,,2160.51,1537.49,0.0
