,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,0.0,2534.44,2033.38,960.74,1816.29,2640.27,1134.35,595.22,2366.89,1134.16,1151.66,295.04,2285.4,1994.73,1232.27,1693.17,2757.76,1226.55,0.0
1,2457.65,0.0,1283.11,2056.43,1451.29,859.81,1641.87,2116.18,1555.03,1612.67,1668.28,2233.78,1473.54,1666.75,1616.04,1397.08,1869.68,1722.28,2457.65
2,2087.79,1315.06,0.0,2016.44,539.97,1420.9,1601.88,1746.32,786.19,1134.04,1116.79,1863.93,704.7,694.57,1152.1,1107.59,1005.55,1007.2,2087.79
3,982.65,2332.47,2251.75,0.0,2065.93,2438.3,904.15,1020.49,2523.67,1417.91,1473.52,1193.85,2442.18,2285.73,1516.02,1914.68,2838.33,1527.52,982.65
4,1959.24,1474.8,477.09,1832.67,0.0,1580.63,1418.11,1617.78,790.3,937.94,920.68,1735.38,708.81,371.71,955.99,979.05,1228.29,811.1,1959.24
5,2579.43,914.81,1404.89,2178.21,1573.07,0.0,1763.65,2237.96,1676.81,1734.45,1790.06,2355.56,1595.31,1788.53,1737.82,1518.86,1894.8,1844.06,2579.43
6,1064.38,1836.95,1756.23,697.78,1570.41,1942.78,0.0,722.91,2028.15,922.39,978.0,840.52,1946.66,1790.21,1020.5,1419.16,2342.81,1032.0,1064.38
7,610.97,2341.91,1869.95,1176.84,1652.85,2447.74,852.7,0.0,2112.84,970.72,988.23,387.11,2031.35,1740.68,1068.84,1529.74,2594.33,1063.12,610.97
8,2361.43,1492.2,727.23,2199.88,750.72,1598.04,1785.32,2019.96,0.0,1305.14,1287.89,2137.57,421.19,865.67,1323.2,1381.23,875.62,1178.3,2361.43
9,1196.28,1777.7,1276.65,1125.75,1020.95,1883.54,711.2,854.81,1453.02,0.0,226.33,972.42,1371.52,1080.86,297.06,936.44,2001.03,280.33,1196.28
10,1258.79,1910.32,1276.76,1297.68,980.01,2016.16,883.12,917.32,1412.08,335.81,0.0,1034.92,1330.58,1039.92,437.94,1069.06,1996.62,203.45,1258.79
11,295.26,2433.11,1932.05,1017.91,1714.96,2538.94,1033.02,493.89,2265.56,1032.83,1050.33,0.0,2184.07,1893.4,1130.94,1591.85,2656.44,1125.22,295.26
12,2313.45,1444.22,679.25,2151.9,702.74,1550.06,1737.34,1971.98,396.3,1257.16,1239.91,2089.59,0.0,817.69,1275.22,1333.25,1146.71,1130.32,2313.45
13,1987.84,1663.5,624.34,1798.95,305.57,1769.33,1384.39,1646.37,834.8,904.21,886.96,1763.97,753.3,0.0,922.27,1076.46,1348.72,777.37,1987.84
14,1364.16,1681.51,1180.45,1170.47,963.35,1787.34,755.91,1022.69,1497.68,277.31,293.4,1140.3,1416.18,1125.51,0.0,840.24,1904.83,347.4,1364.16
15,1800.02,1447.03,1048.26,1712.99,831.17,1552.86,1298.43,1458.55,1408.09,955.03,1010.65,1576.15,1326.59,1050.96,958.4,0.0,1772.64,1064.65,1800.02
16,2657.22,1775.39,1081.16,2569.54,1289.75,1881.22,2154.98,2315.75,900.42,1812.24,1867.85,2433.35,1189.9,1463.35,1815.61,1677.02,0.0,1775.98,2657.22
17,1407.75,1870.81,1149.71,1218.86,852.96,1976.65,804.3,1066.29,1285.03,324.13,198.64,1183.89,1203.53,912.86,342.18,1013.0,1869.56,0.0,1407.75
18,0.0,2534.44,2033.38,960.74,1816.29,2640.27,1134.35,595.22,2366.89,1134.16,1151.66,295.04,2285.4,1994.73,1232.27,1693.17,2757.76,1226.55,0.0
