,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
0,0.0,1030.71,2006.88,1630.58,900.12,907.32,1434.75,2440.68,89.29,1448.52,1033.38,3327.44,586.53,1101.09,991.78,2181.68,1123.63,1661.3,868.17,1433.69,1005.97,2093.15,1344.86,2108.14,2184.95,937.42,1435.53,1405.09,2283.13,857.11,945.66,1564.81,1809.5,2210.09,1056.45,742.15,1777.86,1460.78,1477.68,2127.66,0.0
1,946.68,0.0,1600.61,2011.75,711.28,1069.09,1171.38,2034.41,1029.94,1185.15,353.57,2921.16,752.9,837.72,363.24,1775.41,443.82,1397.93,1054.83,1170.31,309.32,1686.87,1991.63,1701.86,1831.15,604.68,1172.15,1141.72,1876.86,583.25,1553.65,1945.97,1535.56,1894.02,1664.44,1521.36,1417.69,1017.39,1214.31,1684.27,946.68
2,2115.86,1827.87,0.0,3325.12,2074.5,2382.45,734.79,958.84,2199.12,934.99,1762.93,1845.59,1922.08,1663.41,1913.56,699.84,1822.32,529.21,2409.8,809.68,1859.64,182.37,3293.26,626.29,363.6,1742.26,774.83,733.56,709.05,1873.69,2867.02,3259.34,474.66,436.26,2977.81,2690.54,574.55,1862.97,886.19,1057.08,2115.86
3,1789.97,2214.2,3118.41,0.0,2062.0,1657.99,2830.46,3552.22,1848.02,2851.0,2132.31,4438.97,2167.01,2465.24,1971.72,3293.22,2222.56,3074.73,1882.44,2847.11,1987.3,3204.68,1336.71,3219.67,3348.95,2226.93,2848.95,2812.01,3394.67,2087.75,1394.23,355.21,3053.37,3411.83,1412.49,1290.97,2935.5,2559.71,2891.11,3226.59,1789.97
4,1016.48,791.01,1904.56,2019.7,0.0,871.87,1616.61,2338.37,962.88,1637.15,720.03,3136.09,1053.97,1251.39,559.41,2079.36,810.28,1860.88,453.28,1633.26,574.99,1990.83,1999.57,2005.82,2101.16,1013.08,1635.1,1598.16,2180.81,834.01,1561.6,1953.92,1839.52,2112.61,1672.39,1455.82,1721.64,1151.33,1677.26,1818.21,1016.48
5,1012.05,1237.82,2142.03,1562.99,761.63,0.0,1854.08,2575.83,958.44,1874.62,1155.93,3462.59,1049.54,1488.85,995.34,2316.83,1246.18,2098.34,533.12,1870.73,1010.92,2228.3,1542.86,2243.29,2372.57,1250.55,1872.57,1835.63,2418.28,1111.37,1104.89,1497.21,2076.99,2435.44,1215.68,1264.71,1959.11,1583.33,1914.73,2250.21,1012.05
6,1541.25,1363.48,752.5,2876.21,1771.9,1933.54,0.0,1186.3,1624.51,275.49,1390.17,2073.05,1347.46,1088.79,1536.07,927.3,1449.56,388.8,2060.26,93.56,1482.16,838.77,2718.65,853.76,983.04,1167.64,58.0,247.45,1028.75,1299.08,2319.44,2810.43,456.27,1052.45,2430.23,2115.93,360.43,1662.72,328.99,1143.56,1541.25
7,2453.12,2097.17,904.93,3594.42,2399.18,2651.75,1004.09,0.0,2536.38,1204.29,2032.22,1287.99,2259.34,1956.18,2182.86,523.66,2091.61,929.68,2734.48,1078.98,2128.94,921.27,3574.29,563.85,921.42,2079.52,1044.13,1002.86,644.77,2210.95,3136.31,3528.64,875.93,875.17,3247.11,3027.8,890.45,2187.66,1155.49,1296.69,2453.12
8,75.34,1090.48,2066.65,1634.1,870.66,877.85,1494.52,2500.46,0.0,1508.29,1093.15,3387.21,646.3,1160.86,962.32,2241.45,1183.4,1721.07,838.71,1493.46,977.9,2152.92,1348.38,2167.91,2244.72,997.19,1495.3,1464.86,2342.9,916.88,949.17,1568.32,1869.27,2269.86,1059.96,745.67,1837.63,1520.55,1537.45,2187.43,75.34
9,1669.93,1408.76,914.26,2906.0,1730.28,1963.34,314.8,1348.06,1753.19,0.0,1343.81,2234.81,1476.14,1217.47,1494.45,1089.06,1403.2,691.3,2073.82,344.64,1440.53,1000.53,2847.33,1015.52,1064.7,1296.32,346.48,263.96,1190.51,1427.76,2447.9,2840.22,758.77,1089.84,2558.69,2244.61,662.93,1587.91,235.16,1180.95,1669.93
