,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
0,0.0,2214.14,2037.78,489.24,2315.96,123.84,784.46,531.55,1832.41,979.08,1927.71,1564.15,503.55,2568.13,1632.55,1525.56,362.51,1714.05,2679.76,3081.16,1854.96,417.88,2037.08,1790.48,1599.07,646.15,1692.38,2775.45,2519.58,982.09,3068.78,2230.46,2153.45,1728.43,2838.39,1625.05,1825.38,1760.8,302.74,960.71,0.0
1,2288.13,0.0,640.59,2728.36,500.82,2362.95,2007.44,2464.33,855.66,1919.72,1064.66,3544.72,2711.81,1144.15,1462.17,1449.38,2519.96,1985.02,1093.79,1584.18,1145.69,2454.68,617.17,1166.36,1267.31,2058.87,983.12,1189.47,1095.61,1868.0,1517.53,677.87,394.41,1058.22,1252.42,3605.61,1381.42,1137.47,2541.85,2556.96,2288.13
2,2256.07,566.17,0.0,2696.29,430.9,2330.89,1975.39,2432.28,466.84,1736.45,746.31,3512.66,2679.74,1283.68,1171.42,1280.34,2487.92,1952.97,1130.22,1620.61,854.94,2422.64,53.97,875.6,976.55,2026.83,692.36,1225.91,1235.14,1605.77,1553.96,311.25,603.91,767.47,1288.85,3573.55,1090.66,846.72,2509.79,2416.68,2256.07
3,496.58,2639.57,2463.21,0.0,2741.39,462.76,1209.89,870.3,2257.84,1404.51,2282.91,1828.99,688.84,2993.56,2057.98,1950.99,701.26,2139.48,3105.2,3506.59,2227.88,841.87,2462.51,2145.68,2024.5,1125.26,2054.09,3200.88,2945.02,1360.26,3494.21,2655.89,2578.88,2129.2,3263.82,1889.88,2237.49,2116.0,404.32,593.57,496.58
4,2226.07,341.78,339.07,2666.29,0.0,2300.89,1945.37,2402.26,751.24,1857.65,1009.74,3482.66,2649.74,1163.21,1367.44,1387.32,2457.9,1922.95,1111.32,1601.71,1050.96,2392.62,315.65,1071.62,1172.57,1996.81,888.38,1207.0,1114.67,1801.79,1535.05,319.08,596.95,963.49,1269.94,3543.55,1286.68,1042.74,2479.79,2494.9,2226.07
5,91.86,2234.86,2058.5,463.79,2336.68,0.0,805.18,523.5,1853.14,999.8,1948.43,1584.88,478.09,2588.85,1653.27,1546.28,354.46,1734.77,2700.49,3101.88,1875.68,492.28,2057.8,1811.2,1619.79,720.55,1713.1,2796.17,2540.31,1002.82,3089.5,2251.18,2174.17,1749.15,2859.11,1645.77,1846.1,1781.52,277.29,935.25,91.86
6,667.87,1793.02,1671.04,1108.09,1924.89,742.69,0.0,1088.85,1465.68,612.35,1519.11,1924.46,1091.54,2201.4,1265.81,1158.83,919.8,1292.93,2258.64,2714.42,1464.08,982.23,1670.34,1381.88,1232.33,732.47,1290.29,2354.32,2152.85,576.91,2682.38,1863.72,1732.33,1361.69,2417.27,1985.35,1458.64,1352.2,921.59,936.7,667.87
7,518.3,2478.83,2382.45,842.89,2610.7,491.75,1129.13,0.0,2177.08,1323.75,2272.38,1908.82,768.18,2912.8,1977.22,1870.23,279.88,1978.74,2944.45,3425.83,2199.63,428.48,2381.75,2135.15,1943.74,648.65,2037.05,3040.14,2864.26,1326.77,3368.19,2575.13,2418.14,2073.1,3103.08,1969.72,2170.05,2105.47,654.75,1314.14,518.3
8,1941.22,868.25,500.87,2381.45,877.1,2016.04,1699.31,2303.27,0.0,1421.61,677.6,3197.81,2364.9,1288.25,893.54,993.78,2193.16,1823.96,1333.88,1801.28,476.39,2255.59,500.17,597.72,698.67,1897.82,414.48,1429.56,1239.71,1327.89,1757.61,733.8,785.01,489.59,1492.5,3258.71,812.78,568.84,2194.95,2138.8,1941.22
9,1009.95,1601.07,1408.38,1450.18,1686.56,1084.77,606.8,1430.93,1203.02,0.0,1316.51,2266.54,1433.63,1938.73,1003.15,896.16,1261.89,1372.94,2066.7,2451.76,1225.56,1324.32,1407.68,1179.29,969.67,978.44,1062.98,2162.38,1890.19,553.22,2439.38,1601.06,1540.38,1099.03,2225.33,2327.43,1195.98,1143.56,1263.67,1278.78,1009.95
10,1874.29,1070.76,702.85,2312.63,992.05,1949.11,1577.84,2295.27,645.97,1347.31,0.0,3130.88,2297.96,1202.32,937.09,1046.01,2126.22,2031.65,1482.49,1715.35,493.2,2188.66,702.15,401.56,742.23,2022.92,563.44,1777.53,1153.77,1065.09,1702.97,775.53,1155.53,637.8,1840.47,3191.77,761.98,695.65,2128.01,1876.0,1874.29
