,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
0,0.0,758.12,1706.93,392.55,843.23,3426.65,1705.11,894.74,2700.16,989.06,1368.68,845.65,1104.11,1793.93,1332.15,2177.01,848.08,1637.59,946.44,901.04,891.76,2730.0,846.73,731.09,946.54,2088.44,2024.63,782.62,1790.79,1163.39,1799.93,1470.87,1775.27,397.94,1385.46,1596.93,1375.67,449.67,2446.65,909.76,977.1,2357.26,664.47,745.35,2158.98,2259.59,2472.02,1006.21,1918.66,701.02,0.0
1,845.36,0.0,1425.13,1111.18,933.77,3170.29,1330.64,236.16,2536.27,1512.08,1930.46,931.69,1278.24,1419.46,953.78,2046.89,1371.09,1616.28,597.22,170.72,855.27,2442.01,616.33,1022.94,717.5,2014.76,1650.17,429.04,1416.33,1303.18,1425.47,1023.46,1772.79,1018.69,1947.24,1707.41,1996.42,977.08,2282.76,599.95,746.7,1982.79,945.03,325.13,1995.1,2095.7,2246.47,778.75,1796.66,906.74,845.36
2,1816.6,1436.67,0.0,1837.12,1543.05,2415.35,1265.75,1608.52,1848.12,2442.61,2860.99,1518.87,1070.44,1354.58,1298.19,1373.08,2301.63,966.79,1335.29,1419.88,1990.41,1687.07,1751.47,1413.46,1852.64,1342.87,1585.28,1816.46,1351.44,2233.71,1360.58,2280.82,1123.29,1972.81,2877.77,1070.86,2933.35,1501.32,1633.27,1449.04,1881.84,1917.9,1326.28,1712.56,1345.6,1446.21,1117.09,1913.9,1147.17,1494.24,1816.6
3,361.49,960.75,1758.23,0.0,846.8,3477.94,1756.4,1097.37,2751.45,1051.97,1488.43,853.1,1155.4,1845.22,1383.44,2228.31,910.98,1688.89,1149.07,1103.67,1193.39,2781.29,1049.36,634.62,1150.53,2139.74,2075.93,985.26,1842.09,1226.29,1851.23,1533.77,1826.56,517.69,1505.21,1648.22,1495.42,420.17,2497.94,1112.39,1179.73,2408.55,624.65,947.98,2210.28,2310.88,2523.31,1208.84,1969.95,525.06,361.49
4,895.92,919.1,1398.87,857.84,0.0,3118.59,1371.36,1090.94,2392.09,1627.93,2022.87,61.43,796.04,1460.18,998.4,1868.95,1486.95,1329.53,690.9,981.47,1206.61,2421.93,967.67,569.87,1068.84,1780.38,1690.88,1034.39,1457.04,1449.91,1466.18,1680.85,1467.21,1052.13,2039.65,1288.86,2029.86,580.65,2138.58,618.28,1098.04,2023.51,503.26,1005.13,1850.92,1951.52,2163.95,1130.09,1610.6,500.65,895.92
5,3409.66,3188.34,2507.25,3430.18,3175.15,0.0,3017.42,3360.19,897.11,4061.99,4480.37,3154.16,2637.61,3106.25,3029.17,1815.36,3921.01,1941.08,2985.4,3171.55,3609.79,1009.47,3370.85,3006.52,3472.02,1915.94,3336.95,3437.57,3103.11,3853.09,3112.25,4032.49,1753.99,3565.87,4497.16,2071.86,4543.59,3094.38,1329.04,3069.07,3501.23,3669.57,2919.34,3464.23,1727.95,1535.59,3272.33,3533.28,1882.12,3087.3,3409.66
6,1778.64,1319.69,1141.72,1799.16,1426.07,2886.88,0.0,1491.53,2319.65,2354.75,2773.13,1401.89,1477.23,375.64,1181.2,1844.61,2213.76,1448.43,1218.3,1302.9,1902.55,2158.59,1663.61,1375.51,1764.78,1814.39,746.58,1699.48,372.51,2145.84,381.65,2163.84,1604.94,1934.85,2789.91,1603.13,2845.49,1463.36,2113.9,1332.06,1793.98,938.97,1288.32,1595.58,1827.25,1927.85,1963.06,1826.04,1628.81,1456.28,1778.64
7,968.31,199.18,1501.97,1234.13,1033.27,3247.13,1407.48,0.0,2613.11,1626.13,2059.14,1008.53,1355.08,1496.3,1030.62,2123.73,1499.78,1693.12,674.06,247.56,957.12,2518.84,719.81,1145.9,819.35,2091.6,1727.0,557.72,1493.17,1339.25,1502.31,959.59,1849.62,1141.64,2075.93,1784.24,2119.37,1100.04,2359.6,676.79,850.18,1979.9,1067.98,330.71,2071.94,2172.54,2323.31,821.91,1873.5,1029.7,968.31
8,2885.92,2639.92,1958.83,2906.44,2651.42,991.08,2469.0,2811.77,0.0,3538.26,3956.63,2630.43,2113.87,2557.83,2501.44,1291.62,3397.27,1417.34,2461.66,2623.13,3086.05,288.33,2847.11,2482.79,2948.28,1367.52,2788.53,2913.83,2554.69,3329.35,2563.83,3484.07,1230.25,3042.13,3973.42,1548.13,4019.85,2570.65,805.3,2545.33,2977.49,3121.16,2395.6,2915.81,1204.22,1011.85,2723.91,3009.54,1358.38,2563.56,2885.92
9,1100.88,1429.47,2230.75,1132.88,1636.5,3950.47,2216.32,1485.42,3223.98,0.0,1135.1,1611.76,1916.7,2305.15,1843.36,2734.59,295.83,2303.98,1435.86,1572.39,1023.27,3327.69,1046.53,1490.77,968.74,2702.46,2535.85,1149.56,2302.01,288.53,2311.15,1002.03,2460.49,824.1,1151.88,2395.11,1207.45,1262.26,2970.47,1399.18,1200.3,2754.38,1477.07,1336.03,2682.8,2783.4,2995.83,1101.37,2484.36,1410.91,1100.88
10,1548.91,2013.95,2815.23,1663.94,2103.86,4534.94,2800.79,2069.89,3808.45,1230.16,0.0,2106.27,2364.74,2889.62,2427.83,3319.07,1187.93,2888.46,2020.33,2156.86,1866.92,3912.16,1667.32,1991.71,1768.49,3286.94,3120.32,1734.04,2886.48,1282.56,2895.62,1845.68,3035.9,1355.17,140.62,2857.55,332.38,1710.29,3554.94,1983.65,1797.69,3338.85,1925.1,1920.51,3267.27,3367.88,3580.31,1829.74,3068.83,1941.97,1548.91
11,902.23,894.91,1395.27,864.14,61.43,3114.98,1347.17,1066.76,2388.49,1634.24,2029.18,0.0,792.44,1435.99,974.21,1865.35,1493.26,1325.93,666.71,957.28,1182.43,2418.33,943.48,576.18,1044.65,1776.78,1666.7,1010.2,1432.86,1425.72,1442.0,1656.67,1463.6,1058.44,2045.96,1285.26,2036.17,586.96,2134.98,594.09,1073.86,1999.32,509.57,1011.44,1847.32,1947.92,2160.35,1105.91,1606.99,506.96,902.23
12,1101.96,1229.4,1066.72,1122.48,867.46,2705.32,1492.0,1401.25,1978.83,1849.29,2228.91,846.47,0.0,1580.83,925.17,1428.35,1708.31,888.93,881.41,1212.61,1474.1,1981.33,1235.16,698.83,1336.33,1339.78,1811.53,1301.88,1577.69,1717.4,1586.83,1948.34,1026.61,1258.17,2245.69,848.26,2235.9,786.69,1725.32,904.7,1365.53,2144.15,611.64,1345.34,1437.66,1538.26,1831.8,1397.58,1170.0,779.6,1101.96
13,1869.99,1411.04,1233.07,1890.51,1517.42,2978.23,353.2,1582.88,2411.0,2446.1,2864.48,1493.23,1568.58,0.0,1272.55,1935.96,2305.11,1539.78,1309.65,1394.25,1993.9,2249.94,1754.96,1466.86,1856.13,1905.74,837.93,1790.83,339.63,2237.2,300.11,2255.19,1696.29,2026.2,2881.26,1694.48,2936.84,1554.71,2205.25,1423.41,1885.33,906.09,1379.67,1686.93,1918.6,2019.2,2054.41,1917.39,1720.16,1547.63,1869.99
14,1339.05,927.57,1155.98,1359.56,986.48,2875.69,1216.24,1099.41,2149.2,1915.16,2333.53,962.29,891.17,1305.06,0.0,1659.82,1774.17,1229.21,579.57,910.78,1462.96,2269.24,1224.02,935.91,1325.19,1627.69,1535.76,1290.73,1301.92,1706.25,1311.06,1778.62,1385.71,1495.25,2350.32,1320.33,2405.89,1023.77,1895.69,693.33,1354.39,1868.39,848.72,1203.46,1608.03,1708.63,1921.06,1386.44,1409.59,1016.69,1339.05
15,2368.38,2041.72,1360.63,2388.9,2133.88,1921.99,1870.81,2213.57,1205.29,3048.51,3466.89,2112.89,1596.33,1959.63,1903.24,0.0,2907.52,829.35,1940.34,2024.93,2596.31,1193.71,2357.37,1965.25,2458.53,145.75,2190.33,2421.51,1956.49,2839.6,1965.63,2885.87,692.07,2524.59,3483.67,1002.32,3502.31,2053.11,926.98,2054.09,2487.74,2522.96,1878.06,2317.61,350.88,513.27,2125.71,2519.79,471.27,2046.02,2368.38
16,949.16,1285.03,2086.3,981.16,1492.05,3806.02,2071.87,1340.97,3079.53,292.66,1251.82,1467.31,1764.98,2160.7,1698.91,2590.15,0.0,2159.53,1291.41,1427.94,1003.3,3183.24,938.4,1339.05,948.77,2558.02,2391.4,1005.11,2157.56,466.98,2166.7,939.35,2316.04,672.38,1268.6,2250.66,1258.81,1110.54,2826.02,1254.73,1068.77,2609.93,1325.35,1191.58,2538.35,2638.96,2851.39,1081.39,2339.91,1259.19,949.16
17,1806.55,1682.76,929.73,1827.07,1572.05,2087.77,1511.84,1854.6,1361.78,2435.32,2853.7,1551.06,1034.5,1600.66,1402.49,806.5,2294.33,0.0,1358.73,1665.97,1983.12,1359.48,1744.18,1403.42,1845.35,717.93,1831.36,1810.9,1597.53,2226.41,1606.67,2457.36,443.13,1962.76,2870.48,301.33,2926.05,1491.28,1108.27,1442.4,1874.55,2163.99,1316.23,1889.92,820.6,921.2,1694.81,1906.6,496.36,1484.19,1806.55
18,952.03,569.99,1141.74,1217.86,676.08,2886.9,1047.24,741.84,2177.35,1519.21,1937.58,651.34,904.17,1136.07,594.86,1687.97,1378.22,1257.36,0.0,587.09,1067.01,2158.61,828.07,802.44,929.23,1655.84,1366.77,894.78,1132.93,1310.3,1142.07,1454.94,1413.86,1125.37,1954.37,1348.48,2009.94,890.3,1923.84,195.42,958.44,1699.4,715.26,845.88,1636.18,1736.78,1949.21,990.49,1437.74,883.22,952.03
19,984.31,188.2,1393.76,1250.13,963.85,3138.92,1299.26,340.9,2504.9,1651.04,2069.42,939.11,1246.87,1388.09,922.41,2015.52,1510.05,1584.91,604.64,0.0,994.22,2410.63,755.28,1161.9,856.45,1983.39,1618.79,567.99,1384.95,1442.13,1394.09,1075.73,1741.41,1157.65,2086.2,1676.03,2135.37,1116.04,2251.39,607.36,885.66,1920.96,1083.98,455.05,1963.72,2064.32,2215.09,917.71,1765.28,1045.7,984.31
20,861.25,867.78,1880.72,1146.4,1286.46,3600.43,1866.29,923.73,2873.94,1105.83,1663.83,1261.72,1579.78,1955.11,1493.33,2384.56,1072.96,1953.95,1085.82,1010.7,0.0,2977.65,261.48,1466.89,184.11,2352.43,2185.81,587.87,1951.97,873.38,1961.11,1056.08,2110.45,988.29,1680.61,2045.07,1736.19,1226.67,2620.43,1049.14,388.19,2518.44,1388.98,774.34,2332.77,2433.37,2645.8,438.01,2134.33,1350.69,861.25
21,2925.47,2466.52,1785.43,2945.99,2572.9,1077.71,2295.6,2638.37,394.11,3501.58,3919.96,2548.72,2298.5,2384.43,2328.04,1158.81,3360.6,1561.29,2365.14,2449.73,3049.38,0.0,2810.44,2522.34,2911.61,1194.12,2615.13,2846.31,2381.29,3292.68,2390.43,3310.67,1517.44,3081.68,3936.75,1708.04,3992.32,2610.2,1092.48,2478.89,2940.82,2947.75,2435.15,2742.41,1454.56,1214.12,2550.51,2972.87,1338.54,2603.11,2925.47
22,878.53,617.7,1630.64,1163.68,1036.38,3350.35,1616.21,673.65,2623.86,1112.59,1530.97,1011.64,1329.7,1705.03,1243.25,2134.48,971.6,1703.87,835.74,760.62,249.24,2727.57,0.0,1216.81,111.47,2102.35,1935.73,337.79,1701.89,884.9,1711.03,978.7,1860.37,1005.58,1547.75,1794.99,1603.32,1170.95,2370.35,799.06,163.24,2268.36,1138.9,524.26,2082.69,2183.29,2395.72,203.58,1884.25,1100.61,878.53
23,709.82,965.97,1376.81,667.29,518.7,3096.53,1374.99,1102.59,2370.04,1439.93,1836.76,515.53,773.99,1463.81,1002.03,1846.89,1298.95,1307.47,825.78,1108.89,1293.52,2399.88,1054.58,0.0,1155.75,1758.32,1694.51,990.47,1460.67,1614.26,1469.81,1760.49,1445.15,866.03,1853.55,1266.81,1843.75,394.55,2116.53,787.68,1184.95,2027.14,170.8,953.2,1828.86,1929.47,2141.9,1214.06,1588.54,273.67,709.82
24,916.85,727.4,1740.34,1202.01,1146.08,3460.05,1725.91,783.35,2733.56,1053.19,1611.19,1121.34,1439.41,1814.73,1352.95,2244.18,1058.07,1813.57,945.45,870.32,185.07,2837.27,121.1,1326.52,0.0,2212.05,2045.44,447.49,1811.6,820.74,1820.74,1003.44,1970.07,1043.9,1627.97,1904.69,1683.55,1280.65,2480.05,908.76,274.87,2378.06,1248.6,633.96,2192.39,2292.99,2505.42,297.63,1993.95,1210.31,916.85
25,2391.67,2043.71,1362.62,2412.18,2150.09,1923.98,1872.79,2215.55,1356.75,3078.76,3497.13,2125.91,1619.62,1961.62,1905.22,222.08,2937.77,842.3,1942.32,2026.92,2626.55,1195.69,2387.61,1988.53,2488.78,0.0,2192.32,2423.5,1958.48,2869.85,1967.62,2887.86,748.8,2547.87,3513.92,1004.3,3525.6,2076.39,1056.12,2056.08,2517.99,2524.94,1901.34,2319.6,515.21,653.4,2127.7,2550.04,484.22,2069.31,2391.67
26,2103.52,1644.57,1466.6,2124.04,1750.95,3211.76,736.68,1816.41,2644.52,2679.63,3098.01,1726.77,1802.11,825.5,1506.08,2169.49,2538.65,1773.31,1543.18,1627.78,2227.43,2483.47,1988.49,1700.39,2089.66,2139.27,0.0,2024.36,629.4,2470.73,825.58,2418.46,1929.82,2259.73,3114.79,1928.01,3170.37,1788.24,2438.78,1656.94,2118.86,984.42,1613.2,1920.46,2152.13,2252.73,2285.23,2150.92,1953.69,1781.16,2103.52
