,0,1,2,3,4,5,6,7,8,9,10,11,12
0,0.0,2839.18,3813.15,1718.19,2736.95,3046.93,1154.01,2285.41,1472.9,225.33,2953.92,2753.05,0.0
1,2708.12,0.0,2946.95,1638.2,1870.74,2006.51,2398.26,694.02,2069.45,2788.68,2087.71,1886.84,2708.12
2,3736.16,2921.82,0.0,2488.46,1667.91,1522.62,3135.11,2368.06,2806.31,3534.7,1579.3,1760.22,3736.16
3,1854.11,1902.26,2655.12,0.0,1529.01,1930.25,1253.06,1348.49,924.26,1652.65,1795.88,1635.74,1854.11
4,2554.0,1803.78,1666.88,1357.81,0.0,1182.26,2004.47,1250.01,1675.66,2404.06,894.21,496.38,2554.0
5,2930.93,2068.11,1380.97,1683.22,1175.47,0.0,2329.88,1562.82,2001.07,2729.47,780.53,1054.82,2930.93
6,1160.86,2525.17,3263.88,1224.53,2097.49,2539.01,0.0,1971.41,804.69,959.4,2404.64,2204.22,1160.86
7,2149.15,691.42,2387.98,1079.23,1311.77,1621.76,1839.29,0.0,1510.48,2229.71,1528.74,1327.87,2149.15
8,1323.12,2225.56,2951.15,911.81,1808.2,2226.29,722.07,1671.79,0.0,1121.66,2091.92,1914.93,1323.12
9,225.33,2919.74,3706.79,1667.44,2554.36,2981.93,928.72,2365.97,1247.6,0.0,2847.55,2661.09,225.33
10,2880.72,2066.38,1427.19,1633.02,869.03,766.8,2279.68,1512.62,1950.87,2679.26,0.0,748.38,2880.72
11,2558.79,1789.85,1739.13,1362.6,441.25,1123.74,2009.26,1236.08,1680.45,2408.85,835.69,0.0,2558.79
12,0.0,2839.18,3813.15,1718.19,2736.95,3046.93,1154.01,2285.41,1472.9,225.33,2953.92,2753.05,0.0
