,0,1,2,3,4,5,6,7,8,9,10,11,12
0,0.0,882.45,1176.88,945.47,924.19,2285.88,133.76,1102.52,1550.33,1107.43,1176.26,1587.48,0.0
1,787.29,0.0,873.75,1013.95,1434.56,2247.36,825.63,1612.89,1923.36,526.36,947.28,1921.96,787.29
2,1224.17,859.49,0.0,1431.3,1692.34,1651.3,1142.04,1870.67,2318.48,445.94,255.58,2339.3,1224.17
3,808.15,1007.96,1407.71,0.0,1103.73,2516.7,846.49,1238.47,1394.97,1223.3,1407.08,1393.57,808.15
4,1086.5,1583.36,1726.95,1136.0,0.0,2835.95,1014.53,700.51,1291.92,1666.75,1726.33,1318.39,1086.5
5,2162.63,2043.72,1542.05,2369.76,2630.8,0.0,2080.5,2809.13,3256.95,1692.19,1725.49,3277.77,2162.63
6,178.19,815.05,1101.69,904.41,889.29,2210.68,0.0,1067.62,1515.43,1032.24,1101.06,1552.59,178.19
7,1274.23,1854.63,1918.35,1547.06,641.12,3027.34,1231.75,0.0,998.31,1800.93,1860.5,1035.47,1274.23
8,1674.38,1874.2,2273.95,1426.84,1261.81,3382.94,1712.72,887.51,0.0,2089.53,2273.32,367.08,1674.38
9,1062.78,519.65,464.61,1269.91,1530.95,1811.37,980.65,1704.82,2157.09,0.0,489.07,2177.92,1062.78
10,1291.52,884.42,255.58,1498.65,1759.69,1802.55,1209.39,1933.56,2385.83,437.97,0.0,2406.66,1291.52
11,1810.65,2010.47,2410.21,1563.1,1398.08,3519.21,1848.99,1055.35,433.73,2225.8,2409.58,0.0,1810.65
12,0.0,882.45,1176.88,945.47,924.19,2285.88,133.76,1102.52,1550.33,1107.43,1176.26,1587.48,0.0
