,0,1,2,3,4,5,6,7,8,9,10,11,12
0,0.0,832.82,2955.26,1745.99,2165.92,1045.12,1084.99,2640.84,2819.61,1003.8,2151.4,1601.33,0.0
1,911.37,0.0,3345.6,2096.25,2516.17,1395.37,894.19,2991.09,2861.87,1354.06,2501.65,1951.59,911.37
2,3103.96,3558.05,0.0,2046.51,2466.43,2560.14,3848.99,561.72,2821.43,2674.4,1524.4,1979.45,3103.96
3,1853.88,2307.97,2006.51,0.0,857.2,1310.06,2598.91,1955.43,1731.91,1424.32,1162.57,553.93,1853.88
4,2214.75,2668.85,2270.32,765.99,0.0,1728.49,2959.79,2219.24,981.72,1842.76,1426.38,1147.81,2214.75
5,950.62,1404.72,2376.86,1238.47,1669.89,0.0,1695.66,2144.81,2527.26,445.72,1532.92,982.85,950.62
6,1284.25,865.07,3831.92,2582.57,3002.49,1881.69,0.0,3477.42,3348.2,1840.38,2987.98,2437.91,1284.25
7,2864.92,3319.01,527.97,2018.03,2437.95,2441.84,3609.96,0.0,2836.67,2503.26,1539.64,1940.04,2864.92
8,2967.08,3063.24,2760.39,1652.65,987.73,2615.16,3354.18,2655.35,0.0,2346.99,1938.81,2034.48,2967.08
9,1052.65,1506.74,2453.32,1314.92,1746.34,540.07,1797.68,2221.27,2283.02,0.0,1609.38,1059.31,1052.65
10,2249.71,2703.81,1488.16,1192.26,1612.18,1705.89,2994.75,1427.87,1805.23,1820.16,0.0,1125.21,2249.71
11,1770.35,2224.45,2051.3,616.72,1134.22,1226.53,2515.39,1961.33,2008.93,1340.79,1207.36,0.0,1770.35
12,0.0,832.82,2955.26,1745.99,2165.92,1045.12,1084.99,2640.84,2819.61,1003.8,2151.4,1601.33,0.0
