,0,1,2,3,4,5,6,7,8,9,10,11,12
0,0.0,1179.92,1138.77,1186.56,1921.93,2113.97,2471.78,2685.64,1660.33,2460.25,2598.75,1577.05,0.0
1,1129.59,0.0,1868.52,1708.39,2651.68,2843.73,3201.53,3415.39,2221.37,3190.01,3328.5,1493.15,1129.59
2,1113.15,1974.4,0.0,1601.35,1116.79,1529.44,1763.96,2029.68,1302.98,1774.38,1942.79,1874.66,1113.15
3,1019.58,1666.63,1738.63,0.0,2299.04,2262.15,2679.81,2893.67,1628.36,2668.28,2806.78,1572.92,1019.58
4,1799.72,2650.77,1088.95,2242.38,0.0,916.37,1149.84,1403.3,1454.99,1160.26,1316.41,2515.76,1799.72
5,1842.96,2575.04,1384.67,2073.49,890.27,0.0,800.93,1014.79,1298.75,789.41,927.9,2440.03,1842.96
6,2345.05,3199.58,1732.32,2698.03,1260.68,843.24,0.0,802.57,1923.29,151.4,696.98,3064.57,2345.05
7,2477.08,3331.61,1997.81,2830.06,1503.42,975.27,906.36,0.0,2055.32,878.06,235.49,3196.6,2477.08
8,1644.71,2117.13,1270.12,1615.58,1589.76,1552.87,1970.53,2184.38,0.0,1959.0,2097.5,1982.12,1644.71
9,2358.88,3213.41,1762.26,2711.85,1290.62,857.07,169.57,816.4,1937.12,0.0,710.81,3078.39,2358.88
10,2348.07,3202.6,1868.8,2701.05,1374.41,846.26,777.34,322.11,1926.31,735.9,0.0,3067.59,2348.07
11,1702.8,1500.85,2164.57,1679.61,2861.39,2824.5,3242.16,3456.02,2192.59,3230.64,3369.13,0.0,1702.8
12,0.0,1179.92,1138.77,1186.56,1921.93,2113.97,2471.78,2685.64,1660.33,2460.25,2598.75,1577.05,0.0
