,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0,0.0,1127.13,1358.33,1483.14,819.1,1716.39,2060.43,1565.77,1176.15,1156.17,1340.95,200.05,1382.73,685.89,2520.18,1559.66,691.85,1078.1,1914.45,1701.31,1727.05,754.32,1731.9,2747.99,2209.56,1153.65,2281.68,2260.75,1895.54,1239.87,0.0
1,1076.38,0.0,1872.07,1786.72,1473.43,2316.82,2709.44,2033.18,461.84,441.85,1941.38,1115.45,1660.3,908.11,3255.66,2160.09,1079.56,1678.54,2413.48,2301.74,2462.54,1569.23,2380.91,3397.0,2809.99,1754.08,2930.69,1970.55,2544.55,1840.3,1076.38
2,1511.85,1911.33,0.0,243.93,2117.11,827.74,1310.56,677.13,2122.14,2102.16,608.17,1614.94,318.15,1592.9,2144.69,671.01,1343.73,728.09,1025.8,812.66,1351.57,1479.87,982.03,1998.13,1320.91,556.25,1531.82,3282.71,1144.78,639.22,1511.85
3,1599.54,1838.02,292.74,0.0,2204.8,904.35,1269.34,662.61,2048.83,2028.85,609.45,1702.64,244.52,1519.59,2232.38,747.63,1270.42,730.6,1102.41,889.28,1439.26,1567.56,940.81,1956.91,1397.52,515.96,1490.59,3370.4,1104.45,598.93,1599.54
4,835.77,1618.68,1945.94,2070.74,0.0,2303.99,2610.92,2153.38,1667.7,1647.71,1928.56,647.13,2036.83,1359.42,3070.67,2147.27,1365.3,1665.71,2502.05,2288.92,2277.55,1341.93,2282.4,3298.49,2797.17,1741.25,2832.18,2703.41,2446.04,1827.47,835.77
5,1914.95,2224.47,808.73,851.45,2520.21,0.0,1023.3,541.36,2435.28,2415.29,1079.96,2018.04,857.82,1906.03,2265.15,476.14,1656.87,1131.19,550.45,515.23,1754.67,1882.97,858.28,1986.64,1023.47,1111.86,1255.15,3685.81,814.93,1167.71,1914.95
6,2258.27,2767.5,1313.75,1356.47,2658.78,959.37,0.0,1046.38,2978.32,2958.33,1584.98,2278.88,1362.84,2389.39,2078.17,1004.92,2188.17,1636.21,678.73,665.48,1732.43,2199.79,433.68,1836.3,873.14,1616.88,1104.82,4088.98,256.98,1672.73,2258.27
7,1686.27,1913.76,580.05,622.77,2291.53,610.03,1119.24,0.0,2124.58,2104.59,851.29,1789.37,604.28,1595.33,2319.11,412.59,1346.16,902.51,708.66,610.51,1525.99,1654.29,985.98,2081.92,1118.76,883.18,1350.43,3457.13,942.63,939.03,1686.27
8,1222.11,636.56,1994.16,1908.81,1619.17,2438.9,2831.52,2155.26,0.0,171.97,2063.47,1261.19,1782.38,1030.2,3377.75,2282.18,1201.65,1800.62,2535.57,2423.83,2584.63,1691.32,2503.0,3519.09,2932.08,1876.17,3052.78,1757.13,2666.64,1962.39,1222.11
9,1274.9,577.67,2046.94,1961.59,1671.96,2491.69,2884.3,2208.04,233.21,0.0,2116.25,1313.97,1835.16,1082.98,3430.53,2334.96,1192.63,1853.41,2588.35,2476.61,2637.41,1744.1,2555.78,3571.87,2984.86,1928.95,3105.56,1828.21,2719.42,2015.17,1274.9
10,1494.9,1894.38,536.25,523.92,2054.75,989.54,1472.36,838.93,2105.19,2085.21,0.0,1597.99,518.17,1575.94,2064.44,832.82,1326.78,621.86,1187.6,974.47,1271.32,1462.92,1143.84,2159.93,1482.71,381.75,1693.62,3265.76,1306.59,437.6,1494.9
11,203.97,1212.04,1474.64,1599.44,718.9,1832.69,2176.73,1682.08,1261.05,1241.07,1457.26,0.0,1503.33,770.8,2636.49,1675.97,812.44,1194.41,2030.76,1817.62,1843.36,870.63,1848.21,2864.3,2325.87,1269.96,2397.99,2345.65,2011.85,1356.18,203.97
12,1494.02,1800.49,381.82,281.54,2099.28,961.53,1326.52,719.78,2011.31,1991.32,460.62,1597.11,0.0,1482.06,2194.1,804.8,1232.89,581.77,1159.59,946.46,1400.97,1462.04,997.99,2014.08,1454.7,367.12,1547.77,3264.88,1161.63,450.09,1494.02
13,640.01,917.22,1347.83,1262.48,1292.52,1792.57,2185.19,1508.93,1128.03,1099.96,1417.14,679.09,1136.05,0.0,2712.69,1635.85,528.47,1154.29,1889.24,1777.5,1919.57,1026.26,1856.67,2872.76,2285.75,1229.83,2406.45,2373.78,2020.31,1316.06,640.01
14,2941.67,3450.91,2368.32,2493.13,3342.18,2389.35,2185.37,2476.36,3661.72,3641.74,2301.51,2962.28,2524.77,3072.79,0.0,2434.9,2871.58,2424.54,2317.32,2112.51,1469.97,2883.19,1856.84,2587.41,2612.43,2333.41,2557.54,4772.38,2020.48,2389.26,2941.67
15,1867.64,2178.75,761.42,804.14,2472.9,452.11,1023.67,368.69,2389.56,2369.58,1032.65,1970.73,810.51,1860.32,2297.28,0.0,1611.15,1083.88,728.08,512.11,1707.36,1835.66,883.94,1986.35,1023.19,1064.55,1254.86,3638.5,847.06,1120.4,1867.64
16,677.44,889.7,1286.98,1201.63,1282.7,1731.72,2123.13,1448.08,1100.51,1080.53,1356.29,746.8,1075.2,517.84,2582.88,1575.0,0.0,1093.44,1828.39,1716.65,1789.75,896.45,1794.6,2810.69,2224.9,1168.99,2344.38,2376.87,1958.24,1255.21,677.44
