xcoord,ycoord
28.7825012340463,41.0044012730661
28.9466671,41.0065017
28.8726231949974,41.0108569176519
28.819548647879,41.0447927283733
29.1365493996215,41.0171249783497
29.0943388816345,41.04024371516
28.7372094103713,40.9792720245976
28.7190795,40.98311515
28.9434551,41.0113742
28.8348462275109,40.9987764037846
28.6612361251873,40.9872923039568
29.0539196313157,40.9917024837982
29.426804669053,41.1968744250839
28.8099718170463,41.0568795336336
29.1450258757505,41.0071952451133
28.86111995,40.99962685
