,0,1,2,3,4,5,6,7,8,9,10
0,0.0,1053.19,2536.86,677.17,1235.73,1894.65,3479.3,840.87,1350.31,903.07,0.0
1,1035.16,0.0,1907.35,798.39,370.4,1208.8,2867.52,1317.63,1661.04,195.39,1035.16
2,2357.27,1843.67,0.0,2191.0,1725.8,1051.21,1456.55,2553.49,3053.66,1680.75,2357.27
3,536.14,1019.71,2290.4,0.0,1124.24,1747.7,3232.84,1017.71,1195.31,798.42,536.14
4,1200.71,440.53,1782.2,1068.56,0.0,1161.47,2724.63,1483.17,1920.5,518.36,1200.71
5,1963.67,1393.99,1008.17,1741.32,1332.2,0.0,1968.34,2103.8,2603.97,1231.06,1963.67
6,3307.02,2896.67,1530.79,3174.87,2675.55,2104.21,0.0,3589.48,4021.19,2733.74,3307.02
7,830.28,1173.56,2470.88,1075.89,1356.1,1772.32,3431.05,0.0,1154.18,1023.44,830.28
8,1495.54,1886.64,3151.29,1297.63,1985.13,2608.59,4093.72,1316.33,0.0,1714.07,1495.54
9,901.89,252.63,1862.48,651.91,441.7,1163.93,2822.65,1184.36,1514.57,0.0,901.89
10,0.0,1053.19,2536.86,677.17,1235.73,1894.65,3479.3,840.87,1350.31,903.07,0.0
