,0,1,2,3,4,5,6,7,8,9,10
0,0.0,3152.65,3030.85,1058.2,1783.88,2660.28,1525.66,1308.59,1461.46,1863.98,0.0
1,3000.12,0.0,541.07,2703.42,1950.4,944.36,2164.13,2564.15,2250.69,3093.14,3000.12
2,3048.67,562.22,0.0,2751.97,2147.7,1141.66,2361.44,2615.89,2447.99,3141.69,3048.67
3,1194.21,2812.89,2691.09,0.0,1393.08,2320.51,1124.13,611.53,936.26,1693.73,1194.21
4,1564.05,2071.5,2232.2,1267.35,0.0,1579.13,689.9,1111.75,906.34,1865.19,1564.05
5,2568.37,907.86,1101.85,2271.67,1363.77,0.0,1529.26,2116.33,1818.94,2661.39,2568.37
6,1560.6,2216.37,2410.36,1341.85,733.64,1638.03,0.0,1075.77,655.28,2110.65,1560.6
7,1284.2,2553.82,2432.02,745.1,1130.17,2061.45,1012.41,0.0,545.51,1486.55,1284.2
8,1412.27,2540.41,2588.1,965.64,975.05,2048.04,614.18,494.14,0.0,1779.31,1412.27
9,1856.32,3195.47,3073.68,1616.69,1966.52,2703.1,1948.59,1491.05,1714.81,0.0,1856.32
10,0.0,3152.65,3030.85,1058.2,1783.88,2660.28,1525.66,1308.59,1461.46,1863.98,0.0
