,0,1,2,3,4,5,6,7,8,9,10
0,0.0,922.47,1331.24,808.69,953.47,2674.0,3046.33,1846.17,1182.68,1949.86,0.0
1,1047.42,0.0,1027.99,681.06,376.09,2708.03,2502.09,2009.49,654.16,1990.55,1047.42
2,1430.75,1049.48,0.0,1438.22,1186.2,2098.78,2583.14,1445.4,1424.48,1426.46,1430.75
3,775.2,675.81,1418.72,0.0,466.72,2826.73,2786.44,2128.19,579.33,2109.25,775.2
4,1073.55,304.04,1118.02,441.32,0.0,2543.91,2389.78,1845.37,323.41,1826.43,1073.55
5,2831.18,2767.09,2389.29,2914.62,2691.3,0.0,4124.03,1529.0,2900.88,948.81,2831.18
6,3220.85,2434.84,2546.61,2684.77,2278.21,4098.74,0.0,3653.05,2556.28,3617.5,3220.85
7,1895.12,1831.03,1467.81,1978.55,1755.23,1501.86,3513.86,0.0,1964.82,780.68,1895.12
8,1261.73,507.26,1320.71,623.8,296.74,2728.72,2616.46,2030.18,0.0,2011.23,1261.73
9,2096.88,2068.33,1705.12,2215.86,1992.54,1064.59,3662.5,804.09,2202.12,0.0,2096.88
10,0.0,922.47,1331.24,808.69,953.47,2674.0,3046.33,1846.17,1182.68,1949.86,0.0
