,0,1,2,3,4,5,6,7,8,9,10
0,0.0,2666.59,1550.84,1594.64,1477.82,346.81,1540.17,693.14,2002.67,2708.91,0.0
1,2755.2,0.0,3965.62,2299.81,3703.87,2951.89,1963.71,2476.5,2183.24,165.09,2755.2
2,1685.73,3950.61,0.0,2878.66,1442.24,1903.08,2824.2,2188.81,3286.69,3992.93,1685.73
3,1656.9,2171.91,2867.31,0.0,2605.56,1853.58,1422.62,1378.19,1644.31,2214.23,1656.9
4,1547.89,3655.19,1316.84,2669.72,0.0,1765.24,2602.65,1850.59,3065.14,3697.51,1547.89
5,334.31,2835.96,1720.21,1764.01,1647.19,0.0,1709.55,694.26,2172.04,2878.28,334.31
6,1573.79,1790.31,2784.2,1419.6,2472.55,1791.14,0.0,1596.29,1209.76,1832.63,1573.79
7,686.34,2425.53,2101.36,1353.58,1766.13,737.59,1497.09,0.0,1897.92,2467.85,686.34
8,2058.94,2014.57,3269.35,1661.12,2957.7,2276.29,1204.53,1837.81,0.0,2056.89,2058.94
9,2815.16,165.09,4025.57,2359.77,3763.82,3011.84,2023.66,2536.46,2243.19,0.0,2815.16
10,0.0,2666.59,1550.84,1594.64,1477.82,346.81,1540.17,693.14,2002.67,2708.91,0.0
