,0,1,2,3,4,5,6,7,8,9,10
0,0.0,1410.38,1291.15,823.11,2138.5,846.65,1865.18,1684.9,971.25,1063.27,0.0
1,1585.28,0.0,684.94,1602.29,2419.34,1625.83,2146.02,1965.75,2008.16,1165.86,1585.28
2,1358.8,672.85,0.0,1397.98,2171.32,1421.53,1898.0,1717.73,1781.68,969.46,1358.8
3,789.3,1629.34,1510.11,0.0,1898.32,486.94,1625.0,1444.73,562.27,1513.22,789.3
4,2140.48,2461.76,2104.01,1818.1,0.0,1600.84,294.69,1181.37,2219.92,2395.54,2140.48
5,877.8,1717.83,1364.33,454.04,1619.9,0.0,1346.57,1166.3,876.28,1601.71,877.8
6,1867.15,2188.44,1830.69,1544.77,294.69,1327.52,0.0,925.32,1946.6,2122.22,1867.15
7,1670.61,1991.89,1634.15,1348.23,1184.67,1130.97,926.41,0.0,1750.06,1925.68,1670.61
8,1103.65,2076.75,1916.42,785.37,2257.07,867.02,1983.75,1803.47,0.0,1756.76,1103.65
9,1077.28,1116.44,878.99,1544.78,2374.44,1568.33,2101.12,1920.85,1648.76,0.0,1077.28
10,0.0,1410.38,1291.15,823.11,2138.5,846.65,1865.18,1684.9,971.25,1063.27,0.0
